"","...1","Timestamp","ID","Age","Gender","Condition","ReactionTime","keypress","Stimulus","File","stimcolour","correct","congruency"
"423",10,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.807669207977597,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"424",11,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.43813991599018,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"425",12,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.6031954580103,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"426",14,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.532374083995819,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"427",15,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.713580625015311,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"428",16,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.52218845899915,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"429",17,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.959112167009152,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"430",18,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.07435445801821,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"431",19,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.20347233302891,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"432",20,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.02106033399468,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"433",21,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.59869212500053,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"434",22,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.860449167026673,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"435",23,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.06801416701637,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"436",24,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.96232258301461,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"437",25,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.821564749989193,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"438",26,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.622577834001277,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"439",27,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.579108499980066,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"440",28,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.585504499962553,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"441",29,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.03676491702208,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"442",32,"2021_Dec_13_1418","hfdsz",23,"Female","1",3.15976704098284,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"443",33,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.562661666946951,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"444",34,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.572976708004717,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"445",35,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.37623562500812,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"446",36,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.87434762495104,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"447",37,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.97637808398576,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"448",38,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.09804879099829,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"449",39,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.566876208002213,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"450",40,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.39681154198479,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"451",41,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.762502832978498,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"452",42,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.758644749992527,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"453",43,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.22463341697585,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"454",44,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.766933124978095,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"455",45,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.678039999969769,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"456",46,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.72150770801818,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"457",48,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.23575995798456,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"458",49,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.812864125007764,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"459",50,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.56676554202568,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"460",51,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.12251604103949,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"461",52,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.916646708035842,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"462",54,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.39974749996327,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"463",55,"2021_Dec_13_1418","hfdsz",23,"Female","1",1.56097500002943,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"464",56,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.29687399999239,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"465",57,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.800002500007395,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
